id_result,periods,test_type,details,link
132,ADMISION 2022-II,EXTRAORDINARIO,Resultados Víctimas de la Violencia Trujillo,http://admisionunt.info/docs/padrones/20222/20222_extraordinario/20222_victimas_trujillo.txt
133,ADMISION 2022-II,EXTRAORDINARIO,Resultados Deportistas Calificados Trujillo,http://admisionunt.info/docs/padrones/20222/20222_extraordinario/20222_deportistas_trujillo.txt
134,ADMISION 2022-II,EXTRAORDINARIO,Resultados Excelencia Valle Jequetepeque,http://admisionunt.info/docs/padrones/20222/20222_extraordinario/20222_excelencia_valle.txt
135,ADMISION 2022-II,EXTRAORDINARIO,Resultados Excelencia Huamachuco,http://admisionunt.info/docs/padrones/20222/20222_extraordinario/20222_excelencia_huamachuco.txt
136,ADMISION 2023-I,EXTRAORDINARIO,Resultados Excelencia Trujillo,http://admisionunt.info/docs/padrones/20231/20231-excelencia-trujillo.txt
137,ADMISION 2023-I,EXTRAORDINARIO,Resultados Personas con Discapacidad,http://admisionunt.info/docs/padrones/20231/20231-persona-discapacidad.txt
138,ADMISION 2023-I,CEPUNT,Resultados Cepunt Trujillo Área A,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_trujillo_A.txt
139,ADMISION 2023-I,CEPUNT,Resultados Cepunt Trujillo Área B,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_trujillo_B.txt
140,ADMISION 2023-I,CEPUNT,Resultados Cepunt Trujillo Área C y D,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_trujillo_CD.txt
141,ADMISION 2023-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área A,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_valle_A.txt
142,ADMISION 2023-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área B,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_valle_B.txt
143,ADMISION 2023-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área C y D,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_valle_CD.txt
144,ADMISION 2023-I,CEPUNT,Resultados Cepunt Huamachuco Área A,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_huamachuco_A.txt
145,ADMISION 2023-I,CEPUNT,Resultados Cepunt Huamachuco Área B,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_huamachuco_B.txt
146,ADMISION 2023-I,CEPUNT,Resultados Cepunt Huamachuco Área C y D,http://admisionunt.info/docs/padrones/20231/20231_cepunt/20231_cepunt_huamachuco_CD.txt
147,ADMISION 2023-I,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario_truji_A.txt
148,ADMISION 2023-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área A Trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario5to_A.txt
149,ADMISION 2023-I,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario_truji_B.txt
150,ADMISION 2023-I,ORDINARIO,Resultados Ordinario Área C y D Trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario_truji_CD.txt
151,ADMISION 2023-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área B Trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario5to_B.txt
152,ADMISION 2023-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área C y D Trujillo,http://admisionunt.info/docs/padrones/20231/20231_ordinario/20231_ordinario5to_CD.txt
153,ADMISION 2023-II,CEPUNT,Resultados Cepunt Trujillo Área A,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_100320230547.txt
154,ADMISION 2023-II,CEPUNT,Resultados Cepunt Trujillo Área B,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_110320230602.txt
155,ADMISION 2023-II,CEPUNT,Resultados Cepunt Trujillo Área C y D,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_120320230543.txt
156,ADMISION 2023-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área A,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_100320230544.txt
157,ADMISION 2023-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área B,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_110320230545.txt
158,ADMISION 2023-II,CEPUNT,Resultados Cepunt Valle Jequetepeque Área C y D,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_120320230541.txt
159,ADMISION 2023-II,CEPUNT,Resultados Cepunt Huamachuco Área A,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_100320230549.txt
160,ADMISION 2023-II,CEPUNT,Resultados Cepunt Huamachuco Área B,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_110320230628.txt
161,ADMISION 2023-II,CEPUNT,Resultados Cepunt Huamachuco Área C y D,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_120320230547.txt
162,ADMISION 2023-II,EXTRAORDINARIO,Resultados Excelencia Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230631.txt
163,ADMISION 2023-II,EXTRAORDINARIO,Resultados Persona con Discapacidad,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230636.txt
164,ADMISION 2023-II,EXTRAORDINARIO,Resultados Víctimas de la Violencia Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230638.txt
165,ADMISION 2023-II,EXTRAORDINARIO,Resultados Victimas de la Violencia Excelencia Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230639.txt
166,ADMISION 2023-II,EXTRAORDINARIO,Resultados Excelencia Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230633.txt
167,ADMISION 2023-II,EXTRAORDINARIO,Resultados Excelencia Huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230635.txt
168,ADMISION 2023-II,ORDINARIO,Resultados Ordinario Área A Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_240320230530.txt
169,ADMISION 2023-II,ORDINARIO,Resultados Ordinario Área B Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_250320230631.txt
