test_type,year_period,period,mod,place,link
extraordinario,2023,ii,excelencia,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230635.txt
ordinario,2023,ii,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_240320230530.txt
ordinario,2023,ii,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_250320230631.txt
ordinario,2023,ii,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_260320230619.txt
ordinario,2023,ii,,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_240320230533.txt
ordinario,2023,ii,,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_250320230635.txt
ordinario,2023,ii,,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_260320230621.txt
ordinario,2023,ii,,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_240320230541.txt
ordinario,2023,ii,,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_260320230551.txt
ordinario,2023,ii,,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_260320230625.txt
ordinario,2023,ii,,santiago de chuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_250320230733.txt
cepunt,2024,i,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/8//77_DOC_CONVO_200820231146.txt
cepunt,2024,i,,valle jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/8//77_DOC_CONVO_210820231240.txt
cepunt,2024,i,,huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/8//77_DOC_CONVO_210820231242.txt
extraordinario,2024,i,excelencia,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//84_DOC_CONVO_030920230617.txt
extraordinario,2024,i,personas con discapacidad,,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//84_DOC_CONVO_030920230618.txt
ordinario,2024,i,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//87_DOC_CONVO_300920230853.txt
ordinario,2024,i,5to secundaria,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//87_DOC_CONVO_300920230847.txt
ordinario,2024,i,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//87_DOC_CONVO_240920230959.txt
ordinario,2024,i,5to secundaria,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//87_DOC_CONVO_240920230904.txt
ordinario,2024,i,,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//87_DOC_CONVO_230920231114.txt
ordinario,2024,i,5to secundaria,trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//87_DOC_CONVO_230920231112.txt
